"parameter_cd","parameter_group_nm","parameter_nm","casrn","srsname","parameter_units"
"00004","Physical","Stream width, feet",NA,"Instream features, est. stream width","ft"
"00034","Physical","Depth to 1 percent of surface light, feet",NA,"Light attenuation, depth at 99%","ft"
"00062","Physical","Elevation of reservoir water surface above datum, feet",NA,NA,"ft"
"00064","Physical","Mean depth of stream, feet",NA,"Depth","ft"
"00065","Physical","Gage height, feet",NA,"Height, gage","ft"
"00072","Physical","Stream stage, meters",NA,"Stream stage","m"
"00078","Physical","Transparency, water, in situ, Secchi disc, meters",NA,"Water transparency, Secchi disc","m"
"00198","Physical","Depth to 10 percent of surface light, feet",NA,NA,"ft"
"00199","Physical","Depth to 50 percent of surface light, feet",NA,"Light attenuation, depth at 50%","ft"
"30207","Physical","Gage height, above datum, meters",NA,"Gage height","m"
"30210","Physical","Depth to water level, below land surface datum (LSD), meters",NA,"Depth, from ground surface to well water level","m"
"30211","Physical","Elevation above NGVD 1929, meters",NA,NA,"m"
"30212","Physical","Stage, sonic range determination, feet",NA,NA,"ft"
"30213","Physical","Stage, sonic range determination, meters",NA,NA,"m"
"49701","Physical","Transparency, water, in situ, Secchi disc, feet",NA,"Water transparency, Secchi disc","ft"
"49985","Physical","Marsh level movement, vertical, meters",NA,NA,"m"
"50012","Physical","Compaction, aquifer system, feet",NA,NA,"ft"
"50013","Physical","Compaction, soil, feet",NA,NA,"ft"
"62600","Physical","Water level elevation above NGVD 1929, corrected for barometric pressure, feet",NA,NA,"ft"
"62601","Physical","Water level elevation above NGVD 1929, inclined (non-vertical) well, feet",NA,NA,"ft"
"62610","Physical","Groundwater level above NGVD 1929, feet",NA,NA,"ft"
"62611","Physical","Groundwater level above NAVD 1988, feet",NA,NA,"ft"
"62612","Physical","Groundwater level above NGVD 1929, meters",NA,NA,"m"
"62613","Physical","Groundwater level above NAVD 1988, meters",NA,NA,"m"
"62614","Physical","Lake or reservoir water surface elevation above NGVD 1929, feet",NA,NA,"ft"
"62615","Physical","Lake or reservoir water surface elevation above NAVD 1988, feet",NA,NA,"ft"
"62616","Physical","Lake or reservoir water surface elevation above NGVD 1929, meters",NA,NA,"m"
"62617","Physical","Lake or reservoir water surface elevation above NAVD 1988, meters",NA,NA,"m"
"62618","Physical","Lake or reservoir stage, above datum, meters",NA,NA,"m"
"62619","Physical","Estuary or ocean water surface elevation above NGVD 1929, feet",NA,NA,"ft"
"62620","Physical","Estuary or ocean water surface elevation above NAVD 1988, feet",NA,NA,"ft"
"62621","Physical","Estuary or ocean water surface elevation above NGVD 1929, meters",NA,NA,"m"
"62622","Physical","Estuary or ocean water surface elevation above NAVD 1988, meters",NA,NA,"m"
"62623","Physical","Tide stage, above datum, feet",NA,"Tide stage","ft"
"62624","Physical","Tide stage, above datum, meters",NA,"Tide stage","m"
"63158","Physical","Stream water level elevation above NGVD 1929, in feet",NA,NA,"ft"
"63159","Physical","Stream water level elevation above NGVD 1929, in meters",NA,NA,"m"
"63160","Physical","Stream water level elevation above NAVD 1988, in feet",NA,NA,"ft"
"63161","Physical","Stream water level elevation above NAVD 1988, in meters",NA,NA,"m"
"70224","Physical","Wave height, nearshore, feet",NA,"Wave height","ft"
"72001","Physical","Depth of hole, feet below land surface datum",NA,"Depth","ft"
"72002","Physical","Depth to top of water-bearing zone, feet",NA,NA,"ft"
"72003","Physical","Depth to bottom of water-bearing zone, feet",NA,NA,"ft"
"72008","Physical","Depth of well, feet below land surface datum",NA,"Depth","ft"
"72015","Physical","Depth to top of sample interval, feet below land surface datum",NA,NA,"ft"
"72016","Physical","Depth to bottom of sample interval, feet below land surface datum",NA,NA,"ft"
"72019","Physical","Depth to water level, feet below land surface",NA,"Depth to water level below land surface","ft"
"72020","Physical","Elevation above NGVD 1929, feet",NA,NA,"ft"
"72025","Physical","Depth of reservoir, feet",NA,"Depth of pond or reservoir in feet","ft"
"72040","Physical","Drawdown observed, feet",NA,NA,"ft"
"72106","Physical","Elevation of sample, feet",NA,NA,"ft"
"72150","Physical","Groundwater level relative to Mean Sea Level (MSL), feet",NA,NA,"ft"
"72170","Physical","Stage, tidally filtered, above datum, feet",NA,NA,"ft"
"72172","Physical","Wave height, Fourier transformation, feet",NA,NA,"ft"
"72189","Physical","Snow depth, meters",NA,NA,"m"
"72198","Physical","Snow depth, feet",NA,NA,"ft"
"72199","Physical","Water depth, water surface to bottom, feet",NA,"Depth of water column","ft"
"72214","Physical","Lake or reservoir elevation above International Great Lakes Datum (IGLD), feet",NA,NA,"ft"
"72215","Physical","Lake or reservoir elevation above International Great Lakes Datum (IGLD), meters",NA,NA,"m"
"72226","Physical","Groundwater level above American Samoa Datum of 1962 (retired in 2001), feet",NA,NA,"ft"
"72227","Physical","Groundwater level above American Samoa Vertical Datum of 2002, feet",NA,NA,"ft"
"72228","Physical","Groundwater level above Guam Vertical Datum of 1963 (retired in 2003), feet",NA,NA,"ft"
"72229","Physical","Groundwater level above Guam Vertical Datum of 2004, feet",NA,NA,"ft"
"72230","Physical","Groundwater level above Local Hawaiian Datum, feet",NA,NA,"ft"
"72231","Physical","Groundwater level above Northern Marianas Vertical Datum of 2003, feet",NA,NA,"ft"
"72232","Physical","Groundwater level above Puerto Rico Datum of 2002, feet",NA,NA,"ft"
"72250","Physical","Marsh mat (floating vegetation) elevation above NAVD 1988, feet",NA,NA,"ft"
"72251","Physical","Water level above marsh, feet",NA,NA,"ft"
"72264","Physical","Lake or reservoir elevation above New York State Barge Canal Datum (NYBCD), feet",NA,NA,"ft"
"72265","Physical","Lake or reservoir elevation above New York State Barge Canal Datum (NYBCD), meters",NA,NA,"m"
"72274","Physical","Scour hole bottom elevation above NGVD 1929, feet",NA,NA,"ft"
"72275","Physical","Lake or reservoir elevation above United States Bureau of Reclamation Klamath Basin (USBRKB) Datum, feet",NA,NA,"ft"
"81903","Physical","Depth to bottom at sample location, feet",NA,"Depth","ft"
"82015","Physical","Mean depth of lake, feet",NA,"Depth","ft"
"82016","Physical","Maximum depth of lake, feet",NA,"Depth","ft"
"82047","Physical","Depth to top of sampling interval, meters",NA,NA,"m"
"82048","Physical","Depth to bottom of sampling interval, meters",NA,NA,"m"
"82130","Physical","Ice thickness, feet",NA,"Ice thickness","ft"
"82131","Physical","Ice thickness, meters",NA,"Ice thickness","m"
"82903","Physical","Depth to bottom from water surface, at sampling location, meters",NA,"Depth","m"
"85310","Physical","Depth of lake, maximum, meters",NA,"Depth","m"
"85311","Physical","Depth of lake, mean, meters",NA,"Depth","m"
"85328","Physical","Depth to 1 percent of surface light, meters",NA,"Light attenuation, depth at 99%","m"
"90034","Physical","Depth to 1 percent of surface light, cross section average, feet",NA,NA,"ft"
"90198","Physical","Depth to 10 percent surface light, cross section average, feet",NA,NA,"ft"
"90199","Physical","Depth to 50 percent surface light, cross section average, feet",NA,"Light attenuation, depth at 50%","ft"
"99019","Physical","Water level, depth below land surface, meters",NA,"Depth, from ground surface to well water level","m"
"99020","Physical","Elevation above NGVD 1929, meters",NA,NA,"m"
"99064","Physical","Water surface elevation difference between two locations, feet",NA,NA,"ft"
"99065","Physical","Gage height, above datum, meters",NA,"Gage height","m"
"99067","Physical","Difference between observed and predicted water surface elevation, feet",NA,NA,"ft"
"99227","Physical","Primary water level, Aquatrak, distance from measuring point to water surface, meters",NA,NA,"m"
